HIP,Vmag,Plx,e_Plx,B-V,SpType
1,9.1,3.54,1.39,0.482,F5          
2,9.27,21.9,3.1,0.999,K3V         
3,6.61,2.81,0.63,-0.019,B9          
4,8.06,7.75,0.97,0.37,F0V         
5,8.55,2.87,1.11,0.902,G8III       
6,12.31,18.8,4.99,1.336,M0V:        
7,9.64,17.74,1.3,0.74,G0          
8,9.05,5.17,1.95,1.102,M6e-M8.5e Tc
9,8.59,4.81,0.99,1.067,G5          
10,8.59,10.76,1.1,0.489,F6V         
11,7.34,4.29,0.84,0.081,A2          
12,8.43,4.06,1.16,1.484,K4III       
13,8.8,3.49,1.48,1.128,K0III       
14,7.25,5.11,0.99,1.2,K0          
15,8.6,2.45,1.16,1.166,K2          
17,8.15,6.15,1,0.425,F3V         
16,11.71,0.53,2.63,0.421,            
18,11.03,19.93,2.36,1.567,K5          
19,6.53,4.12,0.64,0.955,G5          
20,8.51,10.76,1.06,0.516,G0          
21,7.55,5.84,0.95,1.438,K2          
22,8.69,4.47,1.15,0.962,G8/K0III/IV 
23,7.57,12.21,0.95,0.456,F2V         
24,9.05,9.73,1.21,0.528,G0V         
25,6.28,13.74,0.98,0.763,G3IV        
26,9.13,9.19,1.34,0.535,F7V         
27,9.32,9.66,1.38,0.671,G5V         
28,8.83,5.64,1.05,0.468,F3/F5V      
29,9.14,2.85,1.4,1.041,G8III       
30,8.26,3.79,0.88,0.142,A0          
31,7.63,1.84,1.05,1.453,K2          
32,9.09,3.1,1.29,0.04,B8          
33,8.1,8.94,1.09,0.466,F2          
34,6.43,12.71,0.74,0.514,F7.5IV-V    
35,9.07,5.96,1.45,0.916,G8/K0III/IV 
36,7.68,6.3,0.96,1.15,K0          
37,10.44,3.74,2.72,0.391,F0V         
38,8.65,23.84,0.78,0.778,G6V         
39,7.46,10.98,1.18,0.475,F3V         
41,8.7,3.42,1.04,0.026,A0          
40,10.61,-3.4,4.25,0.57,B...        
42,8.2,6.38,0.91,0.387,F2          
43,6.18,7.63,0.6,1.032,G9III-IV    
44,7.91,2.41,1.01,1.104,K2          
46,8.57,1.19,1.2,1.035,K1III       
47,10.78,24.45,1.97,1.15,K3V         
48,7.31,1.86,0.87,1.164,K0/K1III    
49,9.53,1.59,1.28,0.45,F5          
50,6.49,16.89,0.8,0.616,G1IV        
51,8.94,0.41,1.3,0.906,K0          
52,8.56,3.95,0.77,0.196,A4V         
54,10.57,20.97,1.71,1.03,M:          
55,7.4,14.66,0.98,0.551,G2IV/V      
56,8.12,3.47,1.27,1.329,K0          
57,8.27,33.89,0.79,0.863,K2V         
58,7.05,26.06,0.67,0.52,G0          
59,9.09,-0.06,1.38,0.091,B5          
60,8.34,6.18,0.83,0.386,F2IV        
61,8.86,5.6,1.11,1.081,K5          
62,8.27,5.28,1.15,0.994,G8III       
63,6.36,4.81,0.71,-0.047,B9p SiEu    
64,8.08,3.45,0.94,1.156,K2III       
65,11,16.98,2.43,1.147,            
66,8.55,8.18,0.88,0.401,F2V         
67,7.83,7.48,0.93,0.495,F5          
68,8.79,31.8,1.17,0.94,K0          
69,8.33,6.35,1.12,0.135,A0          
70,10.42,5.25,13.87,0.706,            
71,8.26,9.13,1.84,0.846,G5          
72,8.97,10.63,1.25,0.671,G3/G5V      
73,6.9,3.97,0.69,1.446,K2          
74,9.93,24.22,1.36,1.068,K5          
75,7.42,1.6,0.79,1.524,K4III       
76,9.03,2.29,1.19,1.67,M0          
77,8.41,3.53,1.12,0.022,A0V         
78,8.06,1.17,0.96,1.203,K0          
79,8.69,4.57,0.99,0.529,F5          
80,8.4,15.59,1.43,0.566,G2V         
81,8.57,23.43,1.28,0.642,G5          
82,9.5,1.82,1.37,1.107,G5          
83,8.85,2.28,1.3,1.726,M0          
84,9.61,18.9,1.33,0.852,K0          
