Mass[solMass],logT,Absolute Mag,B-V
3.96,3.75,0.39,1.24
3.95,3.75,0.39,1.24
4.48,4.133,0.53,0.4
4.23,4.133,0.53,0.4
4.22,4.133,0.53,0.4
4.96,3.663,0.55,1.67
4.29,3.663,0.55,1.67
3.72,3.663,0.55,1.67
14.47,4.6,0.63,0.22
3.81,3.798,0.66,1.0
4.76,4.183,0.69,0.37
4.33,4.133,0.69,0.4
6.64,4.325,0.94,0.28
4.05,4.133,1.04,0.4
4.67,4.2,1.05,0.36
3.49,4.062,1.22,0.45
3.31,4.062,1.22,0.45
3.29,4.062,1.22,0.45
3.5,4.1,1.49,0.42
3.03,4.02,1.65,0.49
2.92,4.02,1.65,0.49
2.85,4.02,1.65,0.49
4.06,4.183,1.73,0.37
2.8,4.0,1.92,0.51
2.68,4.0,1.92,0.51
2.64,4.0,1.92,0.51
2.78,4.0,1.95,0.51
2.64,4.0,1.95,0.51
2.62,4.0,1.95,0.51
3.62,4.15,1.96,0.39
2.48,3.975,2.07,0.55
2.85,4.04,2.07,0.47
2.7,3.994,2.07,0.52
2.67,4.0,2.15,0.51
2.81,4.04,2.15,0.47
2.32,3.945,2.24,0.6
2.47,3.956,2.31,0.58
2.47,3.956,2.31,0.58
2.32,3.956,2.31,0.58
2.61,4.01,2.32,0.5
2.47,3.969,2.37,0.56
2.51,3.994,2.42,0.52
2.73,4.05,2.43,0.46
2.6,4.02,2.43,0.49
2.5,3.994,2.44,0.52
2.38,3.988,2.65,0.53
4.38,3.731,-1.09,0.8
3.95,3.731,-1.09,0.8
3.85,3.731,-1.09,0.8
3.19,3.994,-0.58,-0.01
3.84,3.715,-0.44,0.87
3.55,3.715,-0.44,0.87
3.53,3.715,-0.44,0.87
3.48,4.062,-0.36,-0.08
3.3,4.062,-0.36,-0.08
3.28,4.062,-0.36,-0.08
2.95,3.994,-0.26,-0.01
2.92,3.981,-0.26,0.01
3.3,4.04,-0.24,-0.06
3.24,4.04,-0.24,-0.06
3.1,4.04,-0.24,-0.06
3.02,4.02,-0.24,-0.04
2.98,4.01,-0.23,-0.03
3.44,4.075,-0.21,-0.09
2.98,4.02,-0.17,-0.04
2.82,3.969,-0.15,0.03
2.82,3.981,-0.11,0.01
2.82,3.994,-0.06,-0.01
3.06,4.02,0.01,-0.04
3.0,4.02,0.01,-0.04
2.88,4.02,0.01,-0.04
2.74,3.981,0.03,0.01
2.83,4.01,0.04,-0.03
2.76,3.994,0.06,-0.01
3.02,4.02,0.08,-0.04
2.89,4.02,0.08,-0.04
2.84,4.02,0.08,-0.04
2.68,3.988,0.17,0.0
2.64,3.981,0.2,0.01
2.9,4.01,0.21,-0.03
2.78,4.01,0.21,-0.03
2.73,4.01,0.21,-0.03
3.42,3.698,0.23,0.96
2.94,4.03,0.25,-0.05
2.86,4.01,0.28,-0.03
2.84,4.01,0.32,-0.03
2.5,3.862,0.32,0.27
2.69,3.981,0.43,0.01
2.68,3.981,0.43,0.01
2.53,3.981,0.43,0.01
2.47,3.969,0.46,0.03
2.71,4.0,0.49,-0.02
2.67,3.994,0.53,-0.01
2.66,3.994,0.54,-0.01
2.78,4.03,0.54,-0.05
2.5,3.969,0.72,0.03
2.39,3.969,0.72,0.03
2.36,3.969,0.72,0.03
2.57,3.994,0.72,-0.01
2.56,3.994,0.74,-0.01
2.52,3.988,0.77,0.0
2.61,4.02,0.81,-0.04
2.49,3.988,0.83,0.0
2.45,3.981,0.89,0.01
2.43,3.981,0.92,0.01
2.34,3.956,0.98,0.05
2.35,3.969,1.02,0.03
2.35,3.975,1.06,0.02
2.35,3.975,1.07,0.02
2.82,4.087,1.09,-0.1
2.32,3.975,1.13,0.02
2.26,3.95,1.13,0.06
2.26,3.963,1.19,0.04
2.24,3.963,1.23,0.04
2.2,3.941,1.23,0.08
2.29,3.981,1.23,0.01
2.24,3.963,1.24,0.04
2.2,3.945,1.25,0.07
2.18,3.941,1.27,0.08
2.22,3.963,1.27,0.04
2.17,3.941,1.3,0.08
2.21,3.969,1.35,0.03
2.13,3.941,1.39,0.08
2.1,3.932,1.41,0.1
2.05,3.905,1.44,0.16
2.04,3.905,1.44,0.16
1.92,3.905,1.44,0.16
2.08,3.932,1.46,0.1
2.07,3.927,1.48,0.11
2.06,3.923,1.48,0.12
2.06,3.936,1.53,0.09
2.04,3.932,1.55,0.1
2.0,3.923,1.61,0.12
2.01,3.936,1.66,0.09
1.98,3.923,1.68,0.12
1.95,3.918,1.73,0.13
2.0,3.95,1.77,0.06
1.95,3.932,1.78,0.1
1.91,3.909,1.81,0.15
1.91,3.914,1.82,0.14
1.91,3.927,1.89,0.11
1.89,3.923,1.9,0.12
