B-V,log.Teff [K],Absolute Mag,Mass[solMass],Vmag,Plx,Age [yr],Distance,logL,Predicted_SpT
1.24,3.75,0.39,3.96,11.54,0.000588844,135000000.0,1698.243652,2.41,K
1.24,3.75,0.39,3.95,11.54,0.000588844,137000000.0,1698.243652,2.41,K
0.4,4.133,0.53,4.48,11.68,0.000588844,61200000.0,1698.243652,2.66,B
0.4,4.133,0.53,4.23,11.68,0.000588844,86300000.0,1698.243652,2.66,B
0.4,4.133,0.53,4.22,11.68,0.000588844,86700000.0,1698.243652,2.66,B
1.67,3.663,0.55,4.96,11.7,0.000588844,62500000.0,1698.243652,2.49,K
1.67,3.663,0.55,4.29,11.7,0.000588844,108000000.0,1698.243652,2.49,K
1.67,3.663,0.55,3.72,11.7,0.000588844,198000000.0,1698.243652,2.49,K
0.22,4.6,0.63,14.47,11.78,0.000588844,-1.0,1698.243652,3.76,B
1.0,3.798,0.66,3.81,11.81,0.000588844,122000000.0,1698.243652,2.27,F
0.37,4.183,0.69,4.76,11.84,0.000588844,33400000.0,1698.243652,2.72,B
0.4,4.133,0.69,4.33,11.84,0.000588844,60600000.0,1698.243652,2.6,B
0.28,4.325,0.94,6.64,12.09,0.000588844,-1.0,1698.243652,2.96,B
0.4,4.133,1.04,4.05,12.19,0.000588844,54400000.0,1698.243652,2.46,B
0.36,4.2,1.05,4.67,12.2,0.000588844,8530000.0,1698.243652,2.62,B
0.45,4.062,1.22,3.49,12.37,0.000588844,112000000.0,1698.243652,2.24,B
0.45,4.062,1.22,3.31,12.37,0.000588844,154000000.0,1698.243652,2.24,B
0.45,4.062,1.22,3.29,12.37,0.000588844,159000000.0,1698.243652,2.24,B
0.42,4.1,1.49,3.5,12.64,0.000588844,64700000.0,1698.243652,2.2,B
0.49,4.02,1.65,3.03,12.8,0.000588844,160000000.0,1698.243652,2.0,B
0.49,4.02,1.65,2.92,12.8,0.000588844,202000000.0,1698.243652,2.0,B
0.49,4.02,1.65,2.85,12.8,0.000588844,229000000.0,1698.243652,2.0,B
0.37,4.183,1.73,4.06,12.88,0.000588844,-1.0,1698.243652,2.3,B
0.51,4.0,1.92,2.8,13.07,0.000588844,194000000.0,1698.243652,1.86,B
0.51,4.0,1.92,2.68,13.07,0.000588844,262000000.0,1698.243652,1.86,B
0.51,4.0,1.92,2.64,13.07,0.000588844,282000000.0,1698.243652,1.86,B
0.51,4.0,1.95,2.78,13.1,0.000588844,194000000.0,1698.243652,1.85,B
0.51,4.0,1.95,2.64,13.1,0.000588844,278000000.0,1698.243652,1.85,B
0.51,4.0,1.95,2.62,13.1,0.000588844,285000000.0,1698.243652,1.85,B
0.39,4.15,1.96,3.62,13.11,0.000588844,-1.0,1698.243652,2.13,B
0.55,3.975,2.07,2.48,13.22,0.000588844,340000000.0,1698.243652,1.77,A
0.47,4.04,2.07,2.85,13.22,0.000588844,113000000.0,1698.243652,1.86,B
0.52,3.994,2.07,2.7,13.22,0.000588844,206000000.0,1698.243652,1.79,B
0.51,4.0,2.15,2.67,13.3,0.000588844,191000000.0,1698.243652,1.77,B
0.47,4.04,2.15,2.81,13.3,0.000588844,103000000.0,1698.243652,1.83,B
0.6,3.945,2.24,2.32,13.39,0.000588844,426000000.0,1698.243652,1.66,A
0.58,3.956,2.31,2.47,13.46,0.000588844,297000000.0,1698.243652,1.65,A
0.58,3.956,2.31,2.47,13.46,0.000588844,298000000.0,1698.243652,1.65,A
0.58,3.956,2.31,2.32,13.46,0.000588844,411000000.0,1698.243652,1.65,A
0.5,4.01,2.32,2.61,13.47,0.000588844,156000000.0,1698.243652,1.72,B
0.56,3.969,2.37,2.47,13.52,0.000588844,262000000.0,1698.243652,1.64,A
0.52,3.994,2.42,2.51,13.57,0.000588844,190000000.0,1698.243652,1.65,A
0.46,4.05,2.43,2.73,13.58,0.000588844,27400000.0,1698.243652,1.73,B
0.49,4.02,2.43,2.6,13.58,0.000588844,114000000.0,1698.243652,1.69,B
0.52,3.994,2.44,2.5,13.59,0.000588844,188000000.0,1698.243652,1.64,A
0.53,3.988,2.65,2.38,13.8,0.000588844,182000000.0,1698.243652,1.55,A
0.8,3.731,-1.09,4.38,6.31,0.003311311,85800000.0,301.995172,2.39,G
0.8,3.731,-1.09,3.95,6.31,0.003311311,134000000.0,301.995172,2.39,G
0.8,3.731,-1.09,3.85,6.31,0.003311311,155000000.0,301.995172,2.39,G
-0.01,3.994,-0.58,3.19,6.82,0.003311311,185000000.0,301.995172,2.22,B
0.87,3.715,-0.44,3.84,6.96,0.003311311,120000000.0,301.995172,2.15,G
0.87,3.715,-0.44,3.55,6.96,0.003311311,173000000.0,301.995172,2.15,G
0.87,3.715,-0.44,3.53,6.96,0.003311311,177000000.0,301.995172,2.15,G
-0.08,4.062,-0.36,3.48,7.04,0.003311311,112000000.0,301.995172,2.24,B
-0.08,4.062,-0.36,3.3,7.04,0.003311311,157000000.0,301.995172,2.24,B
-0.08,4.062,-0.36,3.28,7.04,0.003311311,160000000.0,301.995172,2.24,B
-0.01,3.994,-0.26,2.95,7.14,0.003311311,224000000.0,301.995172,2.09,B
0.01,3.981,-0.26,2.92,7.14,0.003311311,234000000.0,301.995172,2.07,B
-0.06,4.04,-0.24,3.3,7.16,0.003311311,135000000.0,301.995172,2.15,B
-0.06,4.04,-0.24,3.24,7.16,0.003311311,151000000.0,301.995172,2.15,B
-0.06,4.04,-0.24,3.1,7.16,0.003311311,185000000.0,301.995172,2.15,B
-0.04,4.02,-0.24,3.02,7.16,0.003311311,203000000.0,301.995172,2.12,B
-0.03,4.01,-0.23,2.98,7.17,0.003311311,213000000.0,301.995172,2.1,B
-0.09,4.075,-0.21,3.44,7.19,0.003311311,97200000.0,301.995172,2.2,B
-0.04,4.02,-0.17,2.98,7.23,0.003311311,209000000.0,301.995172,2.09,B
0.03,3.969,-0.15,2.82,7.25,0.003311311,257000000.0,301.995172,2.01,A
0.01,3.981,-0.11,2.82,7.29,0.003311311,255000000.0,301.995172,2.01,B
-0.01,3.994,-0.06,2.82,7.34,0.003311311,248000000.0,301.995172,2.01,B
-0.04,4.02,0.01,3.06,7.41,0.003311311,160000000.0,301.995172,2.02,B
-0.04,4.02,0.01,3.0,7.41,0.003311311,181000000.0,301.995172,2.02,B
-0.04,4.02,0.01,2.88,7.41,0.003311311,225000000.0,301.995172,2.02,B
0.01,3.981,0.03,2.74,7.43,0.003311311,273000000.0,301.995172,1.96,B
-0.03,4.01,0.04,2.83,7.44,0.003311311,239000000.0,301.995172,1.99,B
-0.01,3.994,0.06,2.76,7.46,0.003311311,262000000.0,301.995172,1.96,B
-0.04,4.02,0.08,3.02,7.48,0.003311311,160000000.0,301.995172,1.99,B
-0.04,4.02,0.08,2.89,7.48,0.003311311,211000000.0,301.995172,1.99,B
-0.04,4.02,0.08,2.84,7.48,0.003311311,231000000.0,301.995172,1.99,B
0.0,3.988,0.17,2.68,7.57,0.003311311,283000000.0,301.995172,1.91,B
0.01,3.981,0.2,2.64,7.6,0.003311311,296000000.0,301.995172,1.89,B
-0.03,4.01,0.21,2.9,7.61,0.003311311,176000000.0,301.995172,1.92,B
-0.03,4.01,0.21,2.78,7.61,0.003311311,238000000.0,301.995172,1.92,B
-0.03,4.01,0.21,2.73,7.61,0.003311311,256000000.0,301.995172,1.92,B
0.96,3.698,0.23,3.42,7.63,0.003311311,161000000.0,301.995172,1.9,G
-0.05,4.03,0.25,2.94,7.65,0.003311311,144000000.0,301.995172,1.94,B
-0.03,4.01,0.28,2.86,7.68,0.003311311,177000000.0,301.995172,1.9,B
-0.03,4.01,0.32,2.84,7.72,0.003311311,177000000.0,301.995172,1.88,B
0.27,3.862,0.32,2.5,7.72,0.003311311,374000000.0,301.995172,1.76,A
0.01,3.981,0.43,2.69,7.83,0.003311311,232000000.0,301.995172,1.8,B
0.01,3.981,0.43,2.68,7.83,0.003311311,240000000.0,301.995172,1.8,B
0.01,3.981,0.43,2.53,7.83,0.003311311,323000000.0,301.995172,1.8,A
0.03,3.969,0.46,2.47,7.86,0.003311311,350000000.0,301.995172,1.77,A
-0.02,4.0,0.49,2.71,7.89,0.003311311,193000000.0,301.995172,1.8,B
-0.01,3.994,0.53,2.67,7.93,0.003311311,206000000.0,301.995172,1.77,B
-0.01,3.994,0.54,2.66,7.94,0.003311311,206000000.0,301.995172,1.77,B
-0.05,4.03,0.54,2.78,7.94,0.003311311,128000000.0,301.995172,1.82,B
0.03,3.969,0.72,2.5,8.12,0.003311311,263000000.0,301.995172,1.66,A
0.03,3.969,0.72,2.39,8.12,0.003311311,355000000.0,301.995172,1.66,A
0.03,3.969,0.72,2.36,8.12,0.003311311,381000000.0,301.995172,1.66,A
-0.01,3.994,0.72,2.57,8.12,0.003311311,200000000.0,301.995172,1.7,B
-0.01,3.994,0.74,2.56,8.14,0.003311311,198000000.0,301.995172,1.69,B
0.0,3.988,0.77,2.52,8.17,0.003311311,213000000.0,301.995172,1.67,B
-0.04,4.02,0.81,2.61,8.21,0.003311311,119000000.0,301.995172,1.7,B
0.0,3.988,0.83,2.49,8.23,0.003311311,209000000.0,301.995172,1.64,B
