# System,SpT1,SpT2,Pday,Vmag,BmV,logM1,logM1e,logM2,logM2e,logR1,logR1e,logR2,logR2e,logg1,logg1e,logg2,logg2e,logT1,logT1e,logT2,logT2e,logL1,logL1e,logL2,logL2e
EPIC_203710387,M4.5V,M5V,2.809,14.3,1.8,-0.9363,0.0116,-0.9763,0.0111,-0.3648,0.0055,-0.373,0.0057,4.231,0.01,4.207,0.01,3.483,0.011,3.483,0.011,-1.842,0.047,-1.861,0.047
LP_819-72,K5_V,K5_V,11,10.54,1.76,-0.2291,0.0147,-0.1871,0.0134,-0.2218,0.0072,-0.2366,0.0075,4.65,0.02,4.72,0.02,3.605,0.006,3.626,0.006,-1.07,0.03,-1.01,0.03
OGLE-BLG-ECL-305487,KO_III,K2_III,176.655,18.2,1.7,0.0253,0.0082,-0.0039,0.0079,1.2849,0.0063,1.477,0.0035,1.893,0.013,1.48,0.005,3.628,0.042,3.6,0.027,2.03,0.17,2.31,0.11
PTFEB_132.707+19.810,M3.5_V,M4.3_V,6.016,17.89,1.66,-0.4031,0.0022,-0.6782,0.0029,-0.4401,0.0096,-0.5654,0.0192,4.915,0.019,4.891,0.039,3.513,0.012,3.494,0.015,-1.863,0.032,-2.3,0.13
UScoCTIO_5,M4.5_V,M4.5_V,34.001,16.19,1.62,-0.4694,0.0026,-0.4864,0.0027,-0.0588,0.0012,-0.077,0.0012,4.0859,0.0021,4.1053,0.0021,3.515,0.013,3.513,0.013,-1.105,0.053,-1.146,0.059
CM_Dra,M4.5_V,M4.5_V,1.268,12.9,1.6,-0.6478,0.0006,-0.6776,0.0006,-0.6003,0.0003,-0.6243,0.0004,4.9908,0.0008,5.0091,0.0007,3.496,0.01,3.494,0.014,-2.258,0.038,-2.313,0.056
OGLE-BLG-ECL-116218,K2_III,K3_III,80.586,17.59,1.6,-0.0137,0.0054,-0.0074,0.0053,1.2235,0.0073,1.3436,0.0051,1.978,0.015,1.744,0.009,3.627,0.021,3.611,0.015,1.91,0.08,2.08,0.06
ASAS_J180057-2333.8,K1_II,K4_II,269.496,10.34,1.6,0.6914,0.0019,0.688,0.0019,1.717,0.0115,1.8301,0.009,1.696,0.023,1.466,0.018,3.657,0.008,3.624,0.008,3.013,0.038,3.111,0.037
THOR_42,M3.5,none,0.859,15.17,1.53,-0.3036,0.0044,-0.6882,0.0042,-0.1811,0.002,-0.3726,0.002,4.496,0.003,4.496,0.004,3.518,0.003,3.478,0.003,-1.337,0.013,-1.879,0.013
TOI-450,M4.5_V,M4.5_V,10.715,15.2,1.5,-0.7525,0.001,-0.7528,0.0007,-0.4622,0.0076,-0.4609,0.0075,4.61,0.015,4.607,0.015,3.492,0.014,3.492,0.014,-9.99,-9.99,-9.99,-9.99
MG1-2056316,M2_V,M3_V,1.722,16.2,1.5,-0.3288,0.0019,-0.4179,0.0023,-0.3556,0.003,-0.4271,0.0035,4.82,0.006,4.874,0.007,3.539,0.022,3.521,0.022,-1.6,0.09,-1.82,0.09
MG1-78457,M3_V,M4_V,1.586,17.7,1.5,-0.2782,0.0016,-0.3089,0.0018,-0.2967,0.0095,-0.327,0.0111,4.753,0.019,4.783,0.022,3.522,0.013,3.515,0.013,-1.55,0.05,-1.64,0.05
GU_Boo,M1_V,M1_V,0.489,13.7,1.5,-0.2147,0.005,-0.2226,0.0044,-0.2055,0.0112,-0.2076,0.014,4.634,0.023,4.63,0.028,3.593,0.014,3.581,0.015,-1.09,0.06,-1.14,0.08
