,M,logT,type,rho,logg,logL,logR,SNtype
0,22.88758657,4.531,O,0.006685153607680232,3.856,5.02,0.9708,0.0
1,21.42890601,4.531,O,0.00881680814678396,3.926,4.92,0.9212,0.0
2,15.39926526,4.507,O,0.009609734536208125,3.904,4.7,0.8609,0.0
3,15.02103991,4.502,O,0.009810957416669281,3.907,4.67,0.8543,0.0
4,9.266164375,4.377,B,0.028029244419451108,4.14,3.72,0.6324,1.0
5,8.480080989,4.354,B,0.030444678394683768,4.151,3.58,0.6076,1.0
6,17.00983105,4.508,O,0.009576600942143113,3.917,4.738,0.8758,0.0
7,9.571940713,4.412,B,0.028184568529386497,4.147,3.874,0.6363,1.0
8,6.067363296,4.255,B,0.021321187564369338,4.0,3.204,0.6107,1.0
9,5.952508168,4.25,B,0.02323332623609057,4.021,3.137,0.5955,1.0
10,6.238784723,4.258,B,0.015801975740262333,3.917,3.302,0.6581,1.0
11,5.312512929,4.233,B,0.02775309298115765,4.057,2.993,0.5533,1.0
12,5.184417883,4.23,B,0.06431486919408516,4.297,2.73,0.4281,1.0
13,4.534192978,4.179,B,0.07123794628479137,4.307,2.46,0.3939,1.0
14,6.880183161,4.332,B,0.04123931004211198,4.209,3.351,0.5334,1.0
15,7.348522022,4.342,B,0.03338961340585012,4.157,3.471,0.5735,1.0
16,4.979663542,4.228,B,0.04346216845285536,4.177,2.82,0.479,1.0
17,4.619553488,4.21,B,0.059939261902035114,4.259,2.63,0.4216,1.0
18,4.116233473,4.169,B,0.0729812656521674,4.301,2.38,0.3764,1.0
19,2.508996179,4.041,B,0.1166840220387317,4.364,1.59,0.2368,1.0
20,3.908408958,4.158,B,0.040936564305943925,4.125,2.49,0.4526,1.0
21,2.535712433,4.079,B,0.0903881277518693,4.292,1.82,0.2753,1.0
22,3.521275459,4.09,B,0.057426373421808743,4.208,2.09,0.3885,1.0
23,1.737000726,3.885,A,0.12209879859140306,4.323,0.85,0.177,2.0
24,3.613266545,4.066,B,0.010235554867752147,3.712,2.5,0.6419,1.0
25,2.638153128,4.041,B,0.06204565743054305,4.188,1.79,0.3355,1.0
26,2.775875604,4.033,B,0.03601731969720315,4.038,1.93,0.4216,1.0
27,2.356134074,3.991,A,0.06742351512368072,4.196,1.53,0.3071,2.0
28,2.335070515,4.027,B,0.08675837134795464,4.2675,1.601,0.2693,1.0
29,2.259956084,4.015,B,0.09128751617774476,4.277,1.528,0.2572,1.0
30,2.48713867,4.017,A,0.07246217919278747,4.225,1.63,0.3045,2.0
31,1.503834348,3.857,A,0.1222957573029909,4.303,0.69,0.1559,2.0
32,7.237690371,4.279,B,0.01159608501638287,3.849,3.65,0.7244,1.0
33,5.028054773,4.23,B,0.03861992185836013,4.144,3.018,0.4975,1.0
34,11.42878335,4.336,B,0.0007035766061483013,3.104,4.691,1.1962,1.0
35,7.000031591,4.356,B,0.030013137002234454,4.12,3.626,0.5819,1.0
36,11.74086245,4.417,B,0.004942098429607324,3.672,4.457,0.9179,1.0
37,8.359879163,4.352,B,0.02847812491896081,4.13,3.594,0.6152,1.0
38,19.9986187,4.574,O,0.0060215928975470255,3.806,5.184,0.9664,0.0
39,11.41037716,4.519,B,0.018030650306147044,4.043,4.339,0.7264,1.0
40,2.800270595,4.054,B,0.04958055577470511,4.132,1.93,0.3766,1.0
41,2.779713268,4.052,B,0.050490699879743244,4.136,1.91,0.3729,1.0
44,2.188769357,3.982,A,0.08511603620187402,4.253,1.41,0.2627,2.0
45,1.971968621,3.959,A,0.10179147104392058,4.289,1.23,0.2217,2.0
46,3.253119373,4.029,B,0.017885924397091215,3.858,2.162,0.5459,1.0
47,3.378313899,4.017,B,0.008729942649503492,3.656,2.33,0.6552,1.0
48,2.100873969,3.978,A,0.04927327064038821,4.089,1.54,0.3359,2.0
49,2.098939884,3.978,A,0.04922790918841503,4.088,1.54,0.3359,2.0
50,25.29880456,4.559,O,0.006056355931871483,3.842,5.187,0.9996,0.0
51,8.250874855,4.402,B,0.04634590752167738,4.268,3.649,0.5428,1.0
52,2.660112476,3.985,B,0.030861099213205734,3.987,1.76,0.4378,1.0
54,2.263080487,3.979,A,0.033551457478962265,3.988,1.672,0.4023,2.0
55,1.324951557,3.838,F,0.13412551129829953,4.311,0.552,0.1242,3.0
56,3.187131627,4.019,A,0.013712334239988496,3.779,2.147,0.5814,2.0
58,2.029083877,3.954,A,0.12303010387813058,4.349,1.17,0.1984,2.0
59,1.124087193,3.756,G,0.11803515930736067,4.251,0.21,0.1189,4.0
60,2.375745963,3.971,A,0.02692225234720296,3.932,1.721,0.4412,2.0
61,2.290867653,3.964,A,0.032293222935932245,3.979,1.63,0.4096,2.0
62,2.543899793,4.039,B,0.10433052449104482,4.333,1.61,0.255,1.0
63,2.357762196,4.015,B,0.09124548642045303,4.284,1.53,0.2634,1.0
64,3.185664237,4.01,A,0.006340323112548914,3.555,2.38,0.693,2.0
66,2.197859873,3.966,A,0.05713620495733915,4.138,1.461,0.321,2.0
67,1.625923095,3.883,A,0.10247345770771508,4.263,0.875,0.1928,2.0
68,2.205972022,3.945,A,0.03404171181002398,3.989,1.53,0.3965,2.0
69,2.004933627,3.931,A,0.049455134878091556,4.083,1.33,0.3286,2.0
70,2.39772847,3.965,A,0.032878454197611436,3.99,1.642,0.4136,2.0
71,1.90107828,3.932,A,0.08059561075254713,4.216,1.183,0.2502,2.0
72,27.27093323,4.58,O,0.012308677439745617,4.058,5.087,0.9078,0.0
73,19.0107828,4.531,B,0.019752014271436826,4.143,4.658,0.7871,1.0
74,11.33965913,4.446,B,0.028583235700679947,4.175,4.055,0.6588,1.0
75,10.62918583,4.423,B,0.03197506165628737,4.198,3.915,0.6332,1.0
76,2.150799862,3.94,A,0.05626151086054824,4.131,1.352,0.3201,2.0
77,1.331987042,3.81,F,0.14083525698932198,4.327,0.427,0.1179,3.0
78,2.273002953,4.009,A,0.09322049198192757,4.285,1.499,0.255,2.0
79,1.595144387,3.885,A,0.13586618804741343,4.342,0.792,0.1492,2.0
80,2.182227378,3.982,A,0.08096762320197931,4.237,1.486,0.2695,2.0
81,1.783199772,3.935,A,0.10090469886207856,4.272,1.179,0.2084,2.0
82,2.53921807,3.911,A,0.009515056922062006,3.64,1.8,0.6014,2.0
83,2.32916363,3.949,A,0.027913313333059058,3.939,1.62,0.4331,2.0
84,15.11123641,4.504,O,0.022548174684477815,4.148,4.439,0.7347,0.0
