System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType
EM_Car-1,O7.5_V((f)),3.414,8.38,-0.31,1.3596,0.0061,0.9708,0.0079,3.856,0.017,4.531,0.026,5.02,0.1,22.88758657,4.531,-0.31,-7.75,O
EM_Car-2,O7.5_V((f),3.414,8.38,-0.31,1.331,0.0067,0.9212,0.0073,3.926,0.016,4.531,0.026,4.92,0.1,21.42890601,4.531,-0.31,-7.5,O
V478_Cyg-1,O9.5_II,2.881,8.63,-0.29,1.1875,0.0107,0.8609,0.0054,3.904,0.009,4.507,0.007,4.7,0.03,15.39926526,4.507,-0.29,-6.95,O
V478_Cyg-2,O9.5_III,2.881,8.63,-0.29,1.1767,0.0101,0.8543,0.0055,3.907,0.01,4.502,0.008,4.67,0.04,15.02103991,4.502,-0.29,-6.875,O
QX_Car-1,B2_V,4.478,6.64,-0.23,0.9669,0.0057,0.6324,0.0092,4.14,0.02,4.377,0.009,3.72,0.04,9.266164375,4.377,-0.23,-4.5,B
QX_Car-2,B2_V,4.478,6.64,-0.23,0.9284,0.0062,0.6076,0.0098,4.151,0.021,4.354,0.01,3.58,0.04,8.480080989,4.354,-0.23,-4.15,B
V1034_Sco-1,O9.2_IV,2.441,8.47,-0.22,1.2307,0.0036,0.8758,0.0043,3.917,0.009,4.508,0.007,4.738,0.028,17.00983105,4.508,-0.22,-7.045,O
V1034_Sco-2,B1:_V,2.441,8.47,-0.22,0.981,0.0024,0.6363,0.0051,4.147,0.01,4.412,0.005,3.874,0.028,9.571940713,4.412,-0.22,-4.885,B
CV_Vel-1,B2.5_V,6.889,6.69,-0.19,0.783,0.0008,0.6107,0.0032,4,0.008,4.255,0.012,3.204,0.048,6.067363296,4.255,-0.19,-3.21,B
CV_Vel-2,B2.5_V,6.889,6.69,-0.19,0.7747,0.0008,0.5955,0.0033,4.021,0.008,4.25,0.012,3.137,0.048,5.952508168,4.25,-0.19,-3.0425,B
