logT,Absolute Mag,B-V,Predicted_SpT
3.75,0.39,1.24,K
3.75,0.39,1.24,K
4.133,0.53,0.4,A
4.133,0.53,0.4,A
4.133,0.53,0.4,A
3.663,0.55,1.67,K
3.663,0.55,1.67,K
3.663,0.55,1.67,K
4.6,0.63,0.22,A
3.798,0.66,1.0,G
4.183,0.69,0.37,A
4.133,0.69,0.4,A
4.325,0.94,0.28,A
4.133,1.04,0.4,A
4.2,1.05,0.36,A
4.062,1.22,0.45,F
4.062,1.22,0.45,F
4.062,1.22,0.45,F
4.1,1.49,0.42,F
4.02,1.65,0.49,F
4.02,1.65,0.49,F
4.02,1.65,0.49,F
4.183,1.73,0.37,F
4.0,1.92,0.51,A
4.0,1.92,0.51,A
4.0,1.92,0.51,A
4.0,1.95,0.51,A
4.0,1.95,0.51,A
4.0,1.95,0.51,A
4.15,1.96,0.39,A
3.975,2.07,0.55,A
4.04,2.07,0.47,A
3.994,2.07,0.52,A
4.0,2.15,0.51,F
4.04,2.15,0.47,F
3.945,2.24,0.6,F
3.956,2.31,0.58,F
3.956,2.31,0.58,F
3.956,2.31,0.58,F
4.01,2.32,0.5,F
3.969,2.37,0.56,F
3.994,2.42,0.52,F
4.05,2.43,0.46,F
4.02,2.43,0.49,F
3.994,2.44,0.52,F
3.988,2.65,0.53,F
3.731,-1.09,0.8,G
3.731,-1.09,0.8,G
3.731,-1.09,0.8,G
3.994,-0.58,-0.01,B
3.715,-0.44,0.87,G
3.715,-0.44,0.87,G
3.715,-0.44,0.87,G
4.062,-0.36,-0.08,B
4.062,-0.36,-0.08,B
4.062,-0.36,-0.08,B
3.994,-0.26,-0.01,B
3.981,-0.26,0.01,B
4.04,-0.24,-0.06,B
4.04,-0.24,-0.06,B
4.04,-0.24,-0.06,B
4.02,-0.24,-0.04,B
4.01,-0.23,-0.03,B
4.075,-0.21,-0.09,B
4.02,-0.17,-0.04,B
3.969,-0.15,0.03,B
3.981,-0.11,0.01,B
3.994,-0.06,-0.01,B
4.02,0.01,-0.04,B
4.02,0.01,-0.04,B
4.02,0.01,-0.04,B
3.981,0.03,0.01,B
4.01,0.04,-0.03,B
3.994,0.06,-0.01,B
4.02,0.08,-0.04,B
4.02,0.08,-0.04,B
4.02,0.08,-0.04,B
3.988,0.17,0.0,B
3.981,0.2,0.01,B
4.01,0.21,-0.03,B
4.01,0.21,-0.03,B
4.01,0.21,-0.03,B
3.698,0.23,0.96,G
4.03,0.25,-0.05,B
4.01,0.28,-0.03,B
4.01,0.32,-0.03,B
3.862,0.32,0.27,A
3.981,0.43,0.01,B
3.981,0.43,0.01,B
3.981,0.43,0.01,B
3.969,0.46,0.03,A
4.0,0.49,-0.02,B
3.994,0.53,-0.01,B
3.994,0.54,-0.01,B
4.03,0.54,-0.05,B
3.969,0.72,0.03,A
3.969,0.72,0.03,A
3.969,0.72,0.03,A
3.994,0.72,-0.01,A
3.994,0.74,-0.01,A
3.988,0.77,0.0,A
4.02,0.81,-0.04,B
3.988,0.83,0.0,A
3.981,0.89,0.01,A
3.981,0.92,0.01,A
3.956,0.98,0.05,A
3.969,1.02,0.03,A
3.975,1.06,0.02,A
3.975,1.07,0.02,A
4.087,1.09,-0.1,B
3.975,1.13,0.02,A
3.95,1.13,0.06,A
3.963,1.19,0.04,A
3.963,1.23,0.04,A
3.941,1.23,0.08,A
3.981,1.23,0.01,A
3.963,1.24,0.04,A
3.945,1.25,0.07,A
3.941,1.27,0.08,A
3.963,1.27,0.04,A
3.941,1.3,0.08,A
3.969,1.35,0.03,A
3.941,1.39,0.08,A
3.932,1.41,0.1,A
3.905,1.44,0.16,A
3.905,1.44,0.16,A
3.905,1.44,0.16,A
3.932,1.46,0.1,A
3.927,1.48,0.11,A
3.923,1.48,0.12,A
3.936,1.53,0.09,A
3.932,1.55,0.1,A
3.923,1.61,0.12,A
3.936,1.66,0.09,A
3.923,1.68,0.12,A
3.918,1.73,0.13,A
3.95,1.77,0.06,A
3.932,1.78,0.1,A
3.909,1.81,0.15,A
3.914,1.82,0.14,A
3.927,1.89,0.11,A
3.923,1.9,0.12,A
3.936,1.9,0.09,A
3.909,1.91,0.15,A
3.923,1.94,0.12,A
3.932,1.96,0.1,A
3.862,1.98,0.27,A
3.905,1.98,0.16,A
3.918,1.99,0.13,A
3.927,1.99,0.11,A
3.914,2.01,0.14,A
3.877,2.06,0.23,A
3.877,2.06,0.23,A
3.877,2.06,0.23,A
3.905,2.07,0.16,A
3.862,2.09,0.27,A
3.862,2.09,0.27,A
3.862,2.09,0.27,A
3.941,2.11,0.08,A
3.865,2.16,0.26,A
3.865,2.16,0.26,A
3.865,2.16,0.26,A
3.905,2.18,0.16,A
3.704,2.25,0.93,K
3.881,2.37,0.22,A
3.888,2.37,0.2,A
3.888,2.39,0.2,A
3.877,2.41,0.23,A
3.865,2.42,0.26,A
3.885,2.42,0.21,A
3.858,2.5,0.28,A
3.862,2.55,0.27,A
3.865,2.56,0.26,A
3.905,2.58,0.16,A
3.881,2.59,0.22,A
3.862,2.59,0.27,F
3.869,2.62,0.25,A
3.865,2.63,0.26,A
3.881,2.64,0.22,A
3.844,2.68,0.32,F
3.85,2.69,0.3,F
3.825,2.7,0.38,F
3.825,2.7,0.38,F
3.825,2.7,0.38,F
3.865,2.74,0.26,F
3.869,2.76,0.25,F
3.862,2.78,0.27,F
3.85,2.78,0.3,F
3.869,2.79,0.25,F
3.862,2.82,0.27,F
3.865,2.91,0.26,F
3.873,2.94,0.24,F
3.844,2.94,0.32,F
3.85,2.95,0.3,F
3.831,3.0,0.36,F
3.885,3.02,0.21,F
3.837,3.02,0.34,F
3.831,3.11,0.36,F
3.828,3.18,0.37,F
3.841,3.18,0.33,F
3.831,3.2,0.36,F
3.819,3.21,0.4,F
3.819,3.24,0.4,F
3.803,3.27,0.45,F
3.803,3.27,0.45,F
3.803,3.27,0.45,F
3.844,3.29,0.32,F
3.847,3.29,0.31,F
3.831,3.3,0.36,F
3.85,3.31,0.3,F
3.803,3.31,0.45,F
3.803,3.31,0.45,F
3.803,3.31,0.45,F
3.844,3.36,0.32,F
3.822,3.39,0.39,F
3.8,3.43,0.46,F
3.828,3.43,0.37,F
3.831,3.49,0.36,F
3.825,3.59,0.38,F
3.822,3.59,0.39,F
3.844,3.59,0.32,F
3.813,3.68,0.42,F
3.806,3.77,0.44,F
3.816,3.85,0.41,F
3.798,4.19,0.47,F
3.786,4.52,0.52,G
4.325,1.05,0.26,A
4.075,1.06,0.42,A
4.0,1.43,0.49,F
4.212,1.87,0.33,A
4.02,2.04,0.47,A
4.237,2.21,0.31,A
4.167,2.47,0.36,F
4.0,2.77,0.49,F
3.981,2.8,0.52,F
3.918,2.81,0.64,F
3.918,2.81,0.64,F
3.918,2.81,0.64,F
4.0,3.05,0.49,F
3.869,3.12,0.76,G
3.914,3.16,0.65,F
3.873,3.18,0.75,G
3.892,3.7,0.7,G
3.936,4.1,0.6,F
3.945,-2.52,0.25,B
4.01,-1.04,0.16,A
4.225,-0.6,0.0,B
3.994,-0.56,0.18,A
4.03,-0.49,0.14,A
4.075,-0.3,0.1,A
4.167,0.17,0.04,B
4.325,0.18,-0.06,B
4.3,0.33,-0.05,B
4.075,0.75,0.1,A
3.927,0.94,0.3,A
3.994,1.6,0.18,A
3.981,1.87,0.2,A
4.04,1.87,0.13,A
3.981,2.0,0.2,A
3.936,2.06,0.28,A
3.936,2.08,0.28,A
3.981,2.2,0.2,A
4.01,2.27,0.16,A
3.963,2.29,0.23,A
3.927,2.46,0.3,A
3.969,2.46,0.22,A
3.936,2.46,0.28,A
3.877,2.47,0.42,F
3.877,2.47,0.42,F
3.877,2.47,0.42,F
