logL,Mass[solMass],Vmag,logT,Absolute Mag,B-V,Predicted_SpT
2.41,3.96,11.54,3.75,0.39,1.24,G
2.41,3.95,11.54,3.75,0.39,1.24,G
2.66,4.48,11.68,4.133,0.53,0.4,B
2.66,4.23,11.68,4.133,0.53,0.4,B
2.66,4.22,11.68,4.133,0.53,0.4,B
2.49,4.96,11.7,3.663,0.55,1.67,K
2.49,4.29,11.7,3.663,0.55,1.67,K
2.49,3.72,11.7,3.663,0.55,1.67,K
3.76,14.47,11.78,4.6,0.63,0.22,B
2.27,3.81,11.81,3.798,0.66,1.0,F
2.72,4.76,11.84,4.183,0.69,0.37,B
2.6,4.33,11.84,4.133,0.69,0.4,B
2.96,6.64,12.09,4.325,0.94,0.28,B
2.46,4.05,12.19,4.133,1.04,0.4,B
2.62,4.67,12.2,4.2,1.05,0.36,B
2.24,3.49,12.37,4.062,1.22,0.45,B
2.24,3.31,12.37,4.062,1.22,0.45,B
2.24,3.29,12.37,4.062,1.22,0.45,B
2.2,3.5,12.64,4.1,1.49,0.42,B
2.0,3.03,12.8,4.02,1.65,0.49,B
2.0,2.92,12.8,4.02,1.65,0.49,B
2.0,2.85,12.8,4.02,1.65,0.49,B
2.3,4.06,12.88,4.183,1.73,0.37,B
1.86,2.8,13.07,4.0,1.92,0.51,B
1.86,2.68,13.07,4.0,1.92,0.51,B
1.86,2.64,13.07,4.0,1.92,0.51,B
1.85,2.78,13.1,4.0,1.95,0.51,B
1.85,2.64,13.1,4.0,1.95,0.51,B
1.85,2.62,13.1,4.0,1.95,0.51,B
2.13,3.62,13.11,4.15,1.96,0.39,B
1.77,2.48,13.22,3.975,2.07,0.55,A
1.86,2.85,13.22,4.04,2.07,0.47,B
1.79,2.7,13.22,3.994,2.07,0.52,B
1.77,2.67,13.3,4.0,2.15,0.51,B
1.83,2.81,13.3,4.04,2.15,0.47,B
1.66,2.32,13.39,3.945,2.24,0.6,A
1.65,2.47,13.46,3.956,2.31,0.58,A
1.65,2.47,13.46,3.956,2.31,0.58,A
1.65,2.32,13.46,3.956,2.31,0.58,A
1.72,2.61,13.47,4.01,2.32,0.5,B
1.64,2.47,13.52,3.969,2.37,0.56,A
1.65,2.51,13.57,3.994,2.42,0.52,B
1.73,2.73,13.58,4.05,2.43,0.46,B
1.69,2.6,13.58,4.02,2.43,0.49,B
1.64,2.5,13.59,3.994,2.44,0.52,B
1.55,2.38,13.8,3.988,2.65,0.53,A
2.39,4.38,6.31,3.731,-1.09,0.8,G
2.39,3.95,6.31,3.731,-1.09,0.8,G
2.39,3.85,6.31,3.731,-1.09,0.8,G
2.22,3.19,6.82,3.994,-0.58,-0.01,A
2.15,3.84,6.96,3.715,-0.44,0.87,G
2.15,3.55,6.96,3.715,-0.44,0.87,G
2.15,3.53,6.96,3.715,-0.44,0.87,G
2.24,3.48,7.04,4.062,-0.36,-0.08,B
2.24,3.3,7.04,4.062,-0.36,-0.08,B
2.24,3.28,7.04,4.062,-0.36,-0.08,B
2.09,2.95,7.14,3.994,-0.26,-0.01,B
2.07,2.92,7.14,3.981,-0.26,0.01,A
2.15,3.3,7.16,4.04,-0.24,-0.06,B
2.15,3.24,7.16,4.04,-0.24,-0.06,B
2.15,3.1,7.16,4.04,-0.24,-0.06,B
2.12,3.02,7.16,4.02,-0.24,-0.04,B
2.1,2.98,7.17,4.01,-0.23,-0.03,B
2.2,3.44,7.19,4.075,-0.21,-0.09,B
2.09,2.98,7.23,4.02,-0.17,-0.04,B
2.01,2.82,7.25,3.969,-0.15,0.03,A
2.01,2.82,7.29,3.981,-0.11,0.01,A
2.01,2.82,7.34,3.994,-0.06,-0.01,B
2.02,3.06,7.41,4.02,0.01,-0.04,B
2.02,3.0,7.41,4.02,0.01,-0.04,B
2.02,2.88,7.41,4.02,0.01,-0.04,B
1.96,2.74,7.43,3.981,0.03,0.01,A
1.99,2.83,7.44,4.01,0.04,-0.03,B
1.96,2.76,7.46,3.994,0.06,-0.01,B
1.99,3.02,7.48,4.02,0.08,-0.04,B
1.99,2.89,7.48,4.02,0.08,-0.04,B
1.99,2.84,7.48,4.02,0.08,-0.04,B
1.91,2.68,7.57,3.988,0.17,0.0,B
1.89,2.64,7.6,3.981,0.2,0.01,B
1.92,2.9,7.61,4.01,0.21,-0.03,B
1.92,2.78,7.61,4.01,0.21,-0.03,B
1.92,2.73,7.61,4.01,0.21,-0.03,B
1.9,3.42,7.63,3.698,0.23,0.96,G
1.94,2.94,7.65,4.03,0.25,-0.05,B
1.9,2.86,7.68,4.01,0.28,-0.03,B
1.88,2.84,7.72,4.01,0.32,-0.03,B
1.76,2.5,7.72,3.862,0.32,0.27,A
1.8,2.69,7.83,3.981,0.43,0.01,B
1.8,2.68,7.83,3.981,0.43,0.01,B
1.8,2.53,7.83,3.981,0.43,0.01,B
1.77,2.47,7.86,3.969,0.46,0.03,A
1.8,2.71,7.89,4.0,0.49,-0.02,B
1.77,2.67,7.93,3.994,0.53,-0.01,B
1.77,2.66,7.94,3.994,0.54,-0.01,B
1.82,2.78,7.94,4.03,0.54,-0.05,B
1.66,2.5,8.12,3.969,0.72,0.03,B
1.66,2.39,8.12,3.969,0.72,0.03,A
1.66,2.36,8.12,3.969,0.72,0.03,A
1.7,2.57,8.12,3.994,0.72,-0.01,B
1.69,2.56,8.14,3.994,0.74,-0.01,B
1.67,2.52,8.17,3.988,0.77,0.0,B
1.7,2.61,8.21,4.02,0.81,-0.04,B
1.64,2.49,8.23,3.988,0.83,0.0,B
1.61,2.45,8.29,3.981,0.89,0.01,A
1.6,2.43,8.32,3.981,0.92,0.01,B
1.54,2.34,8.38,3.956,0.98,0.05,A
1.54,2.35,8.42,3.969,1.02,0.03,A
1.54,2.35,8.46,3.975,1.06,0.02,A
1.53,2.35,8.47,3.975,1.07,0.02,A
1.7,2.82,8.49,4.087,1.09,-0.1,B
1.51,2.32,8.53,3.975,1.13,0.02,B
1.48,2.26,8.53,3.95,1.13,0.06,A
1.47,2.26,8.59,3.963,1.19,0.04,A
1.45,2.24,8.63,3.963,1.23,0.04,A
1.43,2.2,8.63,3.941,1.23,0.08,A
1.48,2.29,8.63,3.981,1.23,0.01,B
1.45,2.24,8.64,3.963,1.24,0.04,A
1.42,2.2,8.65,3.945,1.25,0.07,A
1.41,2.18,8.67,3.941,1.27,0.08,A
1.44,2.22,8.67,3.963,1.27,0.04,A
1.4,2.17,8.7,3.941,1.3,0.08,A
1.41,2.21,8.75,3.969,1.35,0.03,B
1.37,2.13,8.79,3.941,1.39,0.08,A
1.35,2.1,8.81,3.932,1.41,0.1,A
1.32,2.05,8.84,3.905,1.44,0.16,A
1.32,2.04,8.84,3.905,1.44,0.16,A
1.32,1.92,8.84,3.905,1.44,0.16,A
1.33,2.08,8.86,3.932,1.46,0.1,A
1.32,2.07,8.88,3.927,1.48,0.11,A
1.32,2.06,8.88,3.923,1.48,0.12,A
1.31,2.06,8.93,3.936,1.53,0.09,A
1.29,2.04,8.95,3.932,1.55,0.1,A
1.26,2.0,9.01,3.923,1.61,0.12,A
1.25,2.01,9.06,3.936,1.66,0.09,A
1.24,1.98,9.08,3.923,1.68,0.12,A
1.21,1.95,9.13,3.918,1.73,0.13,A
1.22,2.0,9.17,3.95,1.77,0.06,A
1.2,1.95,9.18,3.932,1.78,0.1,A
1.17,1.91,9.21,3.909,1.81,0.15,A
1.17,1.91,9.22,3.914,1.82,0.14,A
1.16,1.91,9.29,3.927,1.89,0.11,A
1.15,1.89,9.3,3.923,1.9,0.12,A
1.16,1.92,9.3,3.936,1.9,0.09,A
1.13,1.87,9.31,3.909,1.91,0.15,A
1.13,1.88,9.34,3.923,1.94,0.12,A
1.13,1.89,9.36,3.932,1.96,0.1,A
1.09,1.67,9.38,3.862,1.98,0.27,A
1.1,1.83,9.38,3.905,1.98,0.16,A
1.11,1.85,9.39,3.918,1.99,0.13,A
1.12,1.87,9.39,3.927,1.99,0.11,A
1.1,1.84,9.41,3.914,2.01,0.14,A
1.06,1.78,9.46,3.877,2.06,0.23,A
1.06,1.68,9.46,3.877,2.06,0.23,A
1.06,1.68,9.46,3.877,2.06,0.23,A
1.07,1.8,9.47,3.905,2.07,0.16,A
1.05,1.76,9.49,3.862,2.09,0.27,A
1.05,1.74,9.49,3.862,2.09,0.27,A
1.05,1.64,9.49,3.862,2.09,0.27,A
1.08,1.88,9.51,3.941,2.11,0.08,A
1.02,1.74,9.56,3.865,2.16,0.26,A
1.02,1.67,9.56,3.865,2.16,0.26,A
1.02,1.63,9.56,3.865,2.16,0.26,A
1.02,1.77,9.58,3.905,2.18,0.16,A
1.09,1.92,9.65,3.704,2.25,0.93,K
0.94,1.67,9.77,3.881,2.37,0.22,A
0.94,1.68,9.77,3.888,2.37,0.2,A
