,System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType,Temp(log),T(K)
0,EPIC_203710387-1,M4.5V,2.809,14.3,1.8,-0.9363,0.0116,-0.3648,0.0055,4.231,0.01,3.483,0.011,-1.842,0.047,0.1157977177518939,3.483,1.8,9.405,M,0.5419534744582363,3040.88502567628
1,EPIC_203710387-2,M5V,2.809,14.3,1.8,-0.9763,0.0111,-0.373,0.0057,4.207,0.01,3.483,0.011,-1.861,0.047,0.1056087737624035,3.483,1.8,9.4525,M,0.5419534744582363,3040.88502567628
2,LP_819-72-1,K5_V,11,10.54,1.76,-0.2291,0.0147,-0.2218,0.0072,4.65,0.02,3.605,0.006,-1.07,0.03,0.5900651969956662,3.605,1.76,7.475,K,0.5569052690554478,4027.170343254591
3,LP_819-72-2,K5_V,11,10.54,1.76,-0.1871,0.0134,-0.2366,0.0075,4.72,0.02,3.626,0.006,-1.01,0.03,0.6499800096830252,3.626,1.76,7.324999999999999,K,0.5594277997594899,4226.686142656029
4,OGLE-BLG-ECL-305487-1,KO_III,176.655,18.2,1.7,0.0253,0.0082,1.2849,0.0063,1.893,0.013,3.628,0.042,2.03,0.17,1.0599856845091675,3.628,1.7,-0.2749999999999994,K,0.5596672783880576,4246.19563946313
5,OGLE-BLG-ECL-305487-2,K2_III,176.655,18.2,1.7,-0.0039,0.0079,1.477,0.0035,1.48,0.005,3.6,0.027,2.31,0.11,0.9910601186478312,3.6,1.7,-0.9750000000000004,K,0.5563025007672873,3981.0717055349733
6,PTFEB_132.707+19.810-1,M3.5_V,6.016,17.89,1.66,-0.4031,0.0022,-0.4401,0.0096,4.915,0.019,3.513,0.012,-1.863,0.032,0.3952755940197275,3.513,1.66,9.4575,M,0.5456781497920256,3258.367010020087
7,PTFEB_132.707+19.810-2,M4.3_V,6.016,17.89,1.66,-0.6782,0.0029,-0.5654,0.0192,4.891,0.039,3.494,0.015,-2.3,0.13,0.2097973508619246,3.494,1.66,10.55,M,0.5433229006469121,3118.8895840939385
8,UScoCTIO_5-1,M4.5_V,34.001,16.19,1.62,-0.4694,0.0026,-0.0588,0.0012,4.0859,0.0021,3.515,0.013,-1.105,0.053,0.3393126101629318,3.515,1.62,7.5625,M,0.5459253293558428,3273.406948788383
9,UScoCTIO_5-2,M4.5_V,34.001,16.19,1.62,-0.4864,0.0027,-0.077,0.0012,4.1053,0.0021,3.513,0.013,-1.146,0.059,0.326287172143085,3.513,1.62,7.664999999999999,M,0.5456781497920256,3258.367010020087
10,CM_Dra-1,M4.5_V,1.268,12.9,1.6,-0.6478,0.0006,-0.6003,0.0003,4.9908,0.0008,3.496,0.01,-2.258,0.038,0.2250090572279306,3.496,1.6,10.445,M,0.5435714239623655,3133.2857243155854
11,CM_Dra-2,M4.5_V,1.268,12.9,1.6,-0.6776,0.0006,-0.6243,0.0004,5.0091,0.0007,3.494,0.014,-2.313,0.056,0.2100873969240991,3.494,1.6,10.5825,M,0.5433229006469121,3118.8895840939385
12,OGLE-BLG-ECL-116218-1,K2_III,80.586,17.59,1.6,-0.0137,0.0054,1.2235,0.0073,1.978,0.015,3.627,0.021,1.91,0.08,0.9689469499787372,3.627,1.6,0.0250000000000003,K,0.5595475555804343,4236.429660495409
13,OGLE-BLG-ECL-116218-2,K3_III,80.586,17.59,1.6,-0.0074,0.0053,1.3436,0.0051,1.744,0.009,3.611,0.015,2.08,0.06,0.9831052152817692,3.611,1.6,-0.4000000000000003,K,0.5576274884268266,4083.1938633269233
14,ASAS_J180057-2333.8-1,K1_II,269.496,10.34,1.6,0.6914,0.0019,1.717,0.0115,1.696,0.023,3.657,0.008,3.013,0.038,4.913602272990918,3.657,1.6,-2.7325,K,0.5631249603380444,4539.416166502032
15,ASAS_J180057-2333.8-2,K4_II,269.496,10.34,1.6,0.688,0.0019,1.8301,0.009,1.466,0.018,3.624,0.008,3.111,0.037,4.875284901033862,3.624,1.6,-2.977500000000001,K,0.5591881890047755,4207.266283844442
16,THOR_42-1,M3.5,0.859,15.17,1.53,-0.3036,0.0044,-0.1811,0.002,4.496,0.003,3.518,0.003,-1.337,0.013,0.497049910576235,3.518,1.53,8.1425,M,0.5462958351214424,3296.097121774576
17,THOR_42-2,none,0.859,15.17,1.53,-0.6882,0.0042,-0.3726,0.002,4.496,0.004,3.478,0.003,-1.879,0.013,0.2050217801201983,3.478,1.53,9.4975,n,0.5413295776666937,3006.076302628232
18,MG1-2056316-1,M2_V,1.722,16.2,1.5,-0.3288,0.0019,-0.3556,0.003,4.82,0.006,3.539,0.022,-1.6,0.09,0.4690293284059376,3.539,1.5,8.8,M,0.548880562637515,3459.3937782612206
19,MG1-2056316-2,M3_V,1.722,16.2,1.5,-0.4179,0.0023,-0.4271,0.0035,4.874,0.007,3.521,0.022,-1.82,0.09,0.3820322268844108,3.521,1.5,9.35,M,0.5466660250701842,3318.944575526103
20,MG1-78457-1,M3_V,1.586,17.7,1.5,-0.2782,0.0016,-0.2967,0.0095,4.753,0.019,3.522,0.013,-1.55,0.05,0.5269871189967232,3.522,1.5,8.675,M,0.5467893516312581,3326.5955329400435
21,MG1-78457-2,M4_V,1.586,17.7,1.5,-0.3089,0.0018,-0.327,0.0111,4.783,0.022,3.515,0.013,-1.64,0.05,0.4910209248830859,3.515,1.5,8.899999999999999,M,0.5459253293558428,3273.406948788383
22,GU_Boo-1,M1_V,0.489,13.7,1.5,-0.2147,0.005,-0.2055,0.0112,4.634,0.023,3.593,0.014,-1.09,0.06,0.6099580958722387,3.593,1.5,7.525,M,0.5554572172046495,3917.4187710778306
23,GU_Boo-2,M1_V,0.489,13.7,1.5,-0.2226,0.0044,-0.2076,0.014,4.63,0.028,3.581,0.015,-1.14,0.08,0.5989630064029511,3.581,1.5,7.649999999999999,M,0.5540043210119029,3810.65823393773
24,2MASS_J12220147-5737565-1,M2e,3.072,12.85,1.5,-0.1335,0.0034,-0.0106,0.0058,4.33,0.011,3.574,0.004,-0.772,0.021,0.7353599954754003,3.574,1.5,6.73,M,0.5531545481696254,3749.730022454834
25,2MASS_J12220147-5737565-2,M2e,3.072,12.85,1.5,-0.1752,0.0029,-0.0259,0.0069,4.31,0.013,3.562,0.004,-0.851,0.022,0.6680362046792466,3.562,1.5,6.9275,M,0.5516939151272248,3647.5394692560767
26,LSPM_J1112+7626-1,M4_V,41.033,14.85,1.49,-0.4038,0.0025,-0.4134,0.0061,4.861,0.012,3.486,0.024,-1.92,0.08,0.3946389982098646,3.486,1.49,9.6,M,0.5423273827739744,3061.963433690679
27,LSPM_J1112+7626-2,none,41.033,14.85,1.49,-0.5615,0.0019,-0.5261,0.007,4.929,0.014,3.47,0.023,-2.21,0.09,0.2744732343478535,3.47,1.49,10.325,n,0.5403294747908738,2951.209226666387
28,YY_Gem-1,M1_Ve,0.814,9.07,1.49,-0.2237,0.0034,-0.2079,0.004,4.63,0.008,3.582,0.011,-1.134,0.009,0.5974478464258168,3.582,1.49,7.635,M,0.5541255815130127,3819.442708400464
29,YY_Gem-2,M1_Ve,0.814,9.07,1.49,-0.2212,0.0034,-0.2193,0.0041,4.655,0.051,3.582,0.011,-1.134,0.009,0.6008969504834859,3.582,1.49,7.635,M,0.5541255815130127,3819.442708400464
30,ASAS_J061016-3321.3-1,K5_III,199.857,9.71,1.48,0.0599,0.0117,1.0913,0.0067,2.315,0.014,3.632,0.019,1.667,0.074,1.1478892797901818,3.632,1.48,0.6324999999999994,K,0.5601458398490475,4285.485203974396
31,ASAS_J061016-3321.3-2,K5_V,199.857,9.71,1.48,0.0615,0.0045,1.5227,0.0051,1.454,0.01,3.583,0.021,2.319,0.092,1.1521260598258072,3.583,1.48,-0.9974999999999996,K,0.5542468081661106,3828.2474331682283
32,CU_Cnc-1,M3.5_Ve,2.771,11.89,1.4,-0.3632,0.0017,-0.3648,0.0052,4.804,0.011,3.5,0.021,-1.778,0.083,0.4333112852118382,3.5,1.4,9.245,M,0.5440680443502757,3162.2776601683795
33,CU_Cnc-2,M3.5_Ve,2.771,11.89,1.4,-0.4001,0.0015,-0.408,0.0104,4.854,0.021,3.495,0.021,-1.884,0.086,0.3980155135426725,3.495,1.4,9.51,M,0.5434471800817002,3126.0793671239558
34,MG1-646680-1,M1_V,1.638,17.3,1.4,-0.3019,0.0017,-0.3401,0.0067,4.816,0.013,3.572,0.006,-1.44,0.03,0.4989993730845961,3.572,1.4,8.399999999999999,M,0.5529114502165088,3732.5015779572063
35,MG1-646680-2,M2_V,1.638,17.3,1.4,-0.3536,0.002,-0.3696,0.0061,4.824,0.013,3.56,0.006,-1.55,0.03,0.4429961991003637,3.56,1.4,8.675,M,0.5514499979728752,3630.780547701014
36,MG1-116309-1,K8_V,0.827,16.1,1.4,-0.2464,0.0015,-0.2581,0.0102,4.708,0.02,3.593,0.011,-1.19,0.04,0.5670221181605433,3.593,1.4,7.774999999999999,K,0.5554572172046495,3917.4187710778306
37,MG1-116309-2,M0_V,0.827,16.1,1.4,-0.2741,0.0016,-0.2741,0.0073,4.712,0.015,3.581,0.011,-1.27,0.05,0.5319857509170658,3.581,1.4,7.975,M,0.5540043210119029,3810.65823393773
38,MG1-506664-1,M1_V,1.548,16.0,1.4,-0.2336,0.0015,-0.2518,0.0039,4.708,0.008,3.572,0.012,-1.26,0.05,0.5839827246189302,3.572,1.4,7.949999999999999,M,0.5529114502165088,3732.5015779572063
39,MG1-506664-2,M2_V,1.548,16.0,1.4,-0.2644,0.0016,-0.2899,0.0068,4.753,0.013,3.558,0.012,-1.4,0.05,0.5440013782467273,3.558,1.4,8.3,M,0.5512059437479062,3614.0986263961313
40,OGLE-LMC-ECL-12875-1,G8_III,152.85,17.32,1.39,0.2627,0.0047,1.1937,0.0036,2.313,0.007,3.685,0.009,2.083,0.036,1.831049141471676,3.685,1.39,-0.4075000000000006,G,0.5664374921950703,4841.7236758409945
41,OGLE-LMC-ECL-12875-2,K2.5_III,152.85,17.32,1.39,0.269,0.0054,1.6109,0.0034,1.486,0.006,3.642,0.011,2.744,0.044,1.8578044550916983,3.642,1.39,-2.0600000000000005,K,0.5613399414589012,4385.306977749856
42,V1236_Tau-1,K7_V,2.588,18.1,1.37,-0.104,0.0066,-0.1035,0.0083,4.54,0.02,3.623,0.02,-0.76,0.1,0.7870457896950986,3.623,1.37,6.699999999999999,K,0.5590683340345368,4197.589839910078
43,V1236_Tau-2,K7_V,2.588,18.1,1.37,-0.1135,0.0051,-0.0878,0.0053,4.5,0.01,3.618,0.025,-0.75,0.09,0.770016444356872,3.618,1.37,6.675,K,0.558468562523795,4149.5404263436285
44,OGLE-LMC-ECL-12933-1,G7_III,125.395,17.38,1.37,0.1807,0.0054,1.2385,0.0055,2.142,0.011,3.69,0.018,2.193,0.073,1.5160027880536715,3.69,1.37,-0.6825000000000001,G,0.5670263661590603,4897.7881936844615
45,OGLE-LMC-ECL-12933-2,K2_III,125.395,17.38,1.37,0.1801,0.0049,1.5612,0.0037,1.496,0.007,3.65,0.015,2.679,0.059,1.5139097989198238,3.65,1.37,-1.8975,K,0.5622928644564748,4466.835921509631
46,OGLE-LMC-ECL-15260-1,G8_III,157.469,16.92,1.36,0.1611,0.0054,1.3659,0.008,1.868,0.016,3.682,0.012,2.415,0.05,1.4491054840012254,3.682,1.36,-1.2374999999999998,G,0.5660837841679959,4808.393484497285
47,OGLE-LMC-ECL-15260-2,K2_III,157.469,16.92,1.36,0.1529,0.0049,1.6253,0.0095,1.34,0.019,3.645,0.008,2.787,0.038,1.422001321518881,3.645,1.36,-2.1674999999999995,K,0.5616975326539935,4415.704473533126
