Seq,SIMBAD_ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,Meta,eMeta1,eMeta2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logL,logR,logT
218,V398_Lac A,3.834,0.35,0.35,4.893,0.18,0.18,11000,500,500,314.775,76.967,76.967,,,,3.634501677,0.0509196,0.0509196,,,,0.5836162,MS,B,,eker14,9.128847157,3.678724709,4.545454545,24.45143356,EB,2.4980002326031903,0.6895752157599382,4.041392685158225
221,V413_Ser A,3.654,0.05,0.05,3.2,0.05,0.05,11100,300,300,139.637,17.761,17.761,,,,3.991,0.003,0.003,,,,0.5180662,MS,B,,eker14,1.368363437,1.5625,2.702702703,12.71940818,EB,2.1450005097393814,0.505149978319906,4.045322978786658
222,V413_Ser B,3.318,0.04,0.04,2.921,0.05,0.05,10350,280,280,87.902,11.181,11.181,,,,4.031,0.003,0.003,,,,1.0096912,MS,B,,eker14,1.205545509,1.711742554,2.70531401,12.7198471,EB,1.943998756519533,0.4655315569735497,4.014940349792936
219,V398_Lac B,3.291,0.32,0.32,2.452,0.11,0.11,10900,450,450,76.208,17.548,17.548,,,,4.168286951,0.057459607,0.057459607,,,,0.6491662,MS,B,,eker14,9.723488301,4.486133768,4.128440367,23.02645392,EB,1.8820005641675153,0.3895204658463774,4.037426497940624
144,SS_Lac A,2.85,0.19,0.19,3.33,0.06,0.06,9506,154,154,80.91,6.187,6.187,,,,,,,,,,1.5629332,MS,A,,malkov07,6.666666667,1.801801802,1.620029455,7.646768014,EB,1.9080022011725537,0.5224442335063199,3.97799780995874
258,V994_Her-A A,2.828,0.2,0.2,2.123,0.049,0.049,12000,250,250,83.946,8.737,8.737,,,,4.23,0.05,0.05,,,,-0.0718838,MS,B,,eker14,7.072135785,2.30805464,2.083333333,10.40788126,EB,1.9240000069741874,0.32694999416599885,4.079181246047625
126,PV_Cas A,2.827,0.05,0.05,2.243,0.035,0.035,10000,233,233,44.668,4.31,4.31,,,,,,,,,,1.2391162,MS,B,,malkov07,1.768659356,1.560410165,2.33,9.648965703,EB,1.6499965074660414,0.3508292735829677,4.0
227,V451_Oph A,2.78,0.06,0.06,2.6,0.1,0.1,11015,680,680,89.125,23.077,23.077,,,,,,,,,,0.5737837,MS,B,,malkov07,2.158273381,3.846153846,6.173399909,25.89284712,EB,1.949999542859922,0.414973347970818,4.041984501486787
145,SS_Lac B,2.77,0.18,0.18,3.17,0.06,0.06,9506,154,154,73.282,5.604,5.604,,,,,,,,,,1.5629332,MS,A,,malkov07,6.498194946,1.892744479,1.620029455,7.647171202,EB,1.864997313513383,0.5010592622177514,3.97799780995874
127,PV_Cas B,2.768,0.054,0.054,2.287,0.035,0.035,10000,233,233,46.774,4.513,4.513,,,,,,,,,,1.2391162,MS,B,,malkov07,1.950867052,1.530389156,2.33,9.648522684,EB,1.6700045113163693,0.3592661646067485,4.0
140,RX_Her A,2.75,0.06,0.06,2.44,0.1,0.1,10351,740,740,61.66,19.624,19.624,,,,,,,,,,1.0090357,MS,B,,malkov07,2.181818182,4.098360656,7.149067723,31.82614337,EB,1.7900035203904894,0.3873898263387294,4.014982308585482
42,chi02_Hya B,2.638,0.05,0.05,2.165,0.043,0.043,10990,256,256,61.66,5.949,30.509,,,,,,,,,,0.5901712,MS,B,,malkov07,1.895375284,1.986143187,2.329390355,29.56373662,EB,1.7900035203904894,0.33545790068938425,4.040997692423491
13,alf_CrB A,2.581,0.045,0.045,3.059,0.302,0.302,9700,200,200,74.302,20.322,20.322,,,,3.89,0.086085168,0.086085168,,,,1.4357662,MS,A,,eker14,1.743510267,9.872507355,2.06185567,27.35054238,EB,1.8710005038988489,0.4855794769846787,3.9867717342662448
248,V731_Cep A,2.577,0.098,0.098,1.823,0.03,0.03,10700,200,200,39.084,3.476,3.476,,,,4.304,0.011,0.011,,,,0.7802662,MS,B,,eker14,3.802871556,1.645639057,1.869158879,8.893664927,EB,1.5919990046124979,0.2607866686549763,4.02938377768521
919,HD1367,2.56,0.089,0.089,9.51,0.5,0.5,5382,51,51,68.14,6.74,6.74,0.0,0.1,0.1,,,,,,,4.2662152,PMS,G,,ligi16,3.4765625,5.257623554,0.947603122,9.891400059,I,1.8334021292318585,0.9781805169374139,3.7309436934277356
272,WX_Cep A,2.533,0.05,0.05,3.996,0.03,0.03,8150,250,250,63.241,8.373,8.373,,,,3.638,0.005,0.005,,,,2.4517912,MS,A,,torres10,1.97394394,0.750750751,3.067484663,13.23982859,EB,1.8009987286075504,0.6016254795539447,3.9111576087399764
207,V2368_Oph B,2.525,0.065,0.065,3.74,0.019,0.019,9500,200,200,102.329,9.357,9.357,,,,3.71,0.01,0.01,,,,1.5668662,MS,A,,eker14,2.574257426,0.50802139,2.105263158,9.144035415,EB,2.0099987300480606,0.5728716022004802,3.9777236052888476
19,AS_Cam B,2.51,0.05,0.05,2.0,0.15,0.15,10023,352,352,36.308,8.361,8.361,,,,,,,,,,1.2240397,MS,B,,malkov07,1.992031873,7.5,3.511922578,23.02798281,EB,1.560002326773367,0.3010299956639812,4.000997730357794
82,GG_Lup B,2.509,0.024,0.024,1.725,0.019,0.019,10990,624,624,38.905,10.073,10.073,,,,,,,,,,0.5901712,MS,B,,malkov07,0.956556397,1.101449275,5.67788899,25.89127362,EB,1.5900054196513296,0.23678909940929294,4.040997692423491
173,TZ_Men A,2.482,0.025,0.025,2.017,0.02,0.02,10400,500,500,42.756,9.124,9.124,,,,4.224,0.009,0.009,,,,0.9769162,MS,B,,torres10,1.007252216,0.991571641,4.807692308,21.33969501,EB,1.6309970683986403,0.3047058982127654,4.017033339298781
17,AR_Aur A,2.48,0.098,0.098,1.781,0.036,0.036,10940,306,306,40.738,4.971,4.971,,,,,,,,,,0.6229462,MS,B,,malkov07,3.951612903,2.021336328,2.797074954,12.20236634,EB,1.6099997038422307,0.2506639194632435,4.039017321997412
187,V1031_Ori A,2.467,0.018,0.018,4.349,0.034,0.034,7850,500,500,64.417,22.08,22.08,,,,3.56,0.007,0.007,,,,2.6484412,MS,A,,eker14,0.729631131,0.781788917,6.369426752,34.2766661,EB,1.8090004951843262,0.638389407665336,3.8948696567452528
206,V2368_Oph A,2.417,0.018,0.018,3.857,0.019,0.019,9300,200,200,100.0,9.396,9.396,,,,3.66,0.01,0.01,,,,1.6979662,MS,A,,eker14,0.744724866,0.492610837,2.150537634,9.396,EB,2.0,0.5862496388660419,3.9684829485539352
216,V396_Cas A,2.397,0.025,0.025,2.592,0.014,0.014,9225,150,150,43.652,2.907,2.907,,,,3.99,0.004,0.004,,,,1.7471287,MS,A,,torres10,1.04297038,0.540123457,1.62601626,6.659488683,EB,1.6400041465310609,0.41363499719855573,3.964966374831098
22,bet_Aur A,2.369,0.027,0.027,2.762,0.017,0.017,9350,200,200,52.36,4.92,4.92,,,,3.932,0.005,0.005,,,,1.6651912,MS,A,,eker14,1.139721401,0.615496017,2.139037433,9.396485867,EB,1.7189996378787182,0.4412236742426125,3.9708116108725178
228,V451_Oph B,2.351,0.052,0.052,2.029,0.028,0.028,9800,500,500,34.119,7.857,7.857,,,,4.195,0.011,0.011,,,,1.3702162,MS,A,,torres10,2.211824755,1.379990143,5.102040816,23.02822474,EB,1.5329962938657595,0.307282047033346,3.9912260756924947
83,GG_Ori A,2.342,0.016,0.016,1.852,0.025,0.025,9950,200,200,30.2,2.761,2.761,,,,4.272,0.012,0.012,0.368581777,0.014913714,0.014913714,1.2718912,MS,A,,eker14,0.683176772,1.349892009,2.010050251,9.142384106,EB,1.4800069429571505,0.26764098234591555,3.9978230807457256
84,GG_Ori B,2.337,0.017,0.017,1.83,0.025,0.025,9950,200,200,29.444,2.766,2.766,,,,4.282,0.012,0.012,0.38136496,0.01562389,0.01562389,1.2718912,MS,A,,eker14,0.727428327,1.366120219,2.010050251,9.394104062,EB,1.4689968090596017,0.26245108973042947,3.9978230807457256
212,V364_Lac A,2.334,0.015,0.015,3.308,0.038,0.038,8250,150,150,45.499,3.705,3.705,,,,3.767,0.01,0.01,,,,2.3862412,MS,A,,eker14,0.642673522,1.148730351,1.818181818,8.143036111,EB,1.6580018516185533,0.519565500880509,3.916453948549925
141,RX_Her B,2.33,0.05,0.05,1.96,0.1,0.1,9660,455,455,30.2,6.954,6.954,,,,,,,,,,1.4619862,MS,A,,malkov07,2.145922747,5.102040816,4.710144928,23.02649007,EB,1.4800069429571505,0.292256071356476,3.9849771264154934
273,WX_Cep B,2.324,0.045,0.045,2.712,0.023,0.023,8900,250,250,41.4,5.052,5.052,,,,3.938,0.006,0.006,,,,1.9601662,MS,A,,torres10,1.936316695,0.848082596,2.808988764,12.20289855,EB,1.6170003411208989,0.43328968519502575,3.949390006644913
150,SZ_Cen A,2.311,0.026,0.026,4.556,0.032,0.032,8100,300,300,80.168,12.943,12.943,,,,3.485,0.006,0.006,,,,2.4845662,MS,A,,torres10,1.125054089,0.7023705,3.703703704,16.14484582,EB,1.904001049123167,0.6585837154070627,3.90848501887865
282,YZ_Cas A,2.308,0.01,0.01,2.547,0.03,0.03,9200,300,300,41.687,6.397,6.397,0.1,0.06,0.06,3.995,0.01,0.01,,,,1.7635162,MS,A,,eker14,0.433275563,1.177856302,3.260869565,15.34531149,EB,1.6200006423000677,0.40602894496361513,3.963787827345555
259,V994_Her-A B,2.299,0.16,0.16,1.688,0.039,0.039,9450,90,90,20.417,1.31,1.31,,,,4.33,0.05,0.05,,,,1.5996412,MS,A,,eker14,6.959547629,2.31042654,0.952380952,6.416221776,EB,1.30999192878118,0.22737244228963624,3.975431808509263
