Luminosity(L/Lo),Radius(R/Ro),,Star type,Star color,Spectral Class,Temperature (K),Absolute magnitude
0.0024,0.17,,0,Red,M,3068,16.12
0.0005,0.1542,,0,Red,M,3042,16.6
0.0003,0.102,,0,Red,M,2600,18.7
0.0002,0.16,,0,Red,M,2800,16.65
0.000138,0.103,,0,Red,M,1939,20.06
0.00065,0.11,,0,Red,M,2840,16.98
0.00073,0.127,,0,Red,M,2637,17.22
0.0004,0.096,,0,Red,M,2600,17.4
0.00069,0.11,,0,Red,M,2650,17.45
0.00018,0.13,,0,Red,M,2700,16.05
0.0029,0.51,,1,Red,M,3600,10.69
0.0122,0.3761,,1,Red,M,3129,11.79
0.0004,0.196,,1,Red,M,3134,13.21
0.0055,0.393,,1,Red,M,3628,10.48
0.0006,0.14,,1,Red,M,2650,11.782
0.0038,0.24,,1,Red,M,3340,13.07
0.0018,0.16,,1,Red,M,2799,14.79
0.00367,0.47,,1,Red,M,3692,10.8
0.00362,0.1967,,1,Red,M,3192,13.53
0.039,0.351,,1,Red,M,3441,11.18
0.056,0.0084,,2,Blue White,B,25000,10.58
0.00049,0.01234,,2,White,A,7740,14.02
0.00017,0.011,,2,White,F,7220,14.23
0.0005,0.01,,2,White,A,8500,14.5
0.013,0.014,,2,Blue White,B,16500,11.89
0.000085,0.00984,,2,Yellowish White,F,12990,12.23
0.00081,0.0097,,2,Blue white,A,8570,14.2
0.00011,0.0128,,2,Yellowish White,F,7700,14.47
0.00015,0.011,,2,Yellowish White,F,11790,12.59
0.00008,0.013,,2,Pale yellow orange,F,7230,14.08
204000,10.6,,3,Blue,O,39000,-4.7
28840,6.3,,3,Blue-white,B,30000,-4.2
1136,7.2,,3,Blue-white,B,15276,-1.97
74,2.89,,3,Whitish,B,9700,0.16
0.81,0.9,,3,yellow-white,F,5800,5.05
8.7,1.8,,3,Whitish,A,8052,2.42
1.43,1.12,,3,yellow-white,F,6757,2.41
1.35,0.98,,3,yellow-white,F,6380,2.93
1.357,1.106,,3,yellow-white,F,5936,4.46
0.819,0.99,,3,yellow-white,F,5587,5.03
200000,19,,4,Red,M,3826,-6.93
340000,23,,4,Red,M,3365,-6.2
150000,88,,4,Red,M,3270,-6.02
195000,17,,4,Red,M,3200,-7.22
280000,25,,4,Red,M,3008,-6
320000,29,,4,Red,M,3600,-6.6
123000,45,,4,Red,M,3575,-6.78
200000,89,,4,Red,M,3574,-5.24
184000,84,,4,Red,M,3625,-6.74
220000,26,,4,Blue,B,33750,-6.1
270000,1520,,5,Red,M,3490,-9.4
283000,1260,,5,Red,M,3750,-7.63
272000,1183,,5,Red,M,3834,-9.2
550000,1648,,5,Orange,M,3749,-8.05
310000,1324,,5,Red,M,3650,-7.79
263000,1349,,5,Red,M,3450,-11.75
363000,1673,,5,Red,M,3660,-11.92
174000,1284,,5,Red,M,3450,-11.28
209000,955,,5,Red,M,3752,-11.24
195000,1546,,5,Red,M,3535,-11.36
