1	0	11.1	P	NGC 129
2	0.09	10.85	P	NGC 188
3	0	12.3	P	NGC 457
4	0.45	10.55	P	NGC 559
5	0	12.1	P	NGC 581
6	0.03	7.9	P	NGC 752
7	0.09	8.6	P	NGC 1039
8	0.28	11.81	P	NGC 1245
9	0	9.4	I	NGC 1502
10	0	10.7	P	NGC 1907
11	0	10.6	P	NGC 1912
12	0.24	10.5	P	NGC 1960
13	0.31	10.5	P	NGC 2099
14	0.17	9.7	P	NGC 2168
15	0.1	9	I	NGC 2264
16	0.08	8.4	P	NGC 2422
17	0.4	10.4	P	NGC 2489
18	0.09	7.87	P	NGC 2516
19	0.1	9	P	NGC 2527
20	0.34	12.25	P	NGC 2533
21	0.17	9.95	P	NGC 2546
22	0.12	11.25	P	NGC 2567
23	0.32	11.55	P	NGC 2571
24	0	6	P	NGC 2632
25	0.06	9.6	P	NGC 2682
26	0.04	9.5	P	NGC 3680
27	0.27	10.81	P	NGC 5138
28	0	9.49	P	NGC 5460
29	0.53	10.3	P	NGC 5617
30	0.17	9.4	P	NGC 6025
31	0.43	12.5	P	NGC 6031
32	0.45	9.23	P	NGC 6134
33	0.18	10	P	NGC 6208
34	0.47	10.5	P	NGC 6613
35	0.17	7.5	P	NGC 6633
36	0.4	11.25	P	NGC 6705
37	0.13	8.9	P	NGC 6716
38	0.17	9.77	P	NGC 6811
39	0.28	11.76	P	NGC 6819
40	0.14	10.4	P	NGC 6866
41	0.53	10.7	P	NGC 6939
42	0.19	10.93	P	NGC 7039
43	0.48	11.26	P	NGC 7062
44	0.28	10.66	P	NGC 7082
45	0	7	P	NGC 7092
46	0	9.8	P	NGC 7209
47	0.24	9.4	P	NGC 7243
48	0	12.8	P	NGC 7380
49	0.79	9.6	P	NGC 7762
50	0.28	11.4	I	NGC 7788
51	0.52	12.4	I	NGC 7790
52	0.52	11.1	P	IC 1369
53	0	11.1	I	IC 1805
54	0	5.9	P	IC 2391
55	0	-0.5	I	IC 2581
56	0.04	5.44	I	IC 2602
57	0.15	9.5	P	IC 4651
58	0.17	7.2	I	IC 4665
59	0.08	5.6	I	alpha Pe
60	0.04	5.5	P	Pleiades
61	0	3.23	P	Hyades
62	0	4.5	P	Coma Ber
63	0.21	10.9	P	Collinde
64	0.54	11.1	P	Hogg 17
65	0.19	10.2	P	Lynga 2
66	0.51	11.5	P	Pismis 1
67	0	7.4	P	Stock 2
68	0.53	11.15	P	Trumpler
